id,rating
1,"nothing positive"
1,"Ma'am is very good"
1,"teacher is very supportive towards students."
1,"The teacher has thorough knowledge of the subject. The teacher can explain the conecpts easily and make students visualise them. She is very smart. She cares whether the students have understood the conecpts or not."
1,"taught us nicely"
1,"lecture not on time"
1,"taking efforts and taught them while sitting in car,netural"
1,"Teaching method is worst"
2,"lecture practical is not on time "
2,"The teacher is inconsistent with her schedule. She is quite lazy and procrastinates taking lectures. She takes real short lectures and exploits special treatment for herself."
2,"doesn't come for the lectures for the most times"
2,"teaching is average"
2,"Ma'am provides mcq  .. So I love her "
2,"teaching style is good "
2,"The teacher teches nicely. She is not very indulging in whether everyone is paying attention or not but still good explanations. She is average teacher."
2,"behaviour towards student is good"
3,"Nothing positive"
3,"Python is easy sub.. "
3,"proper notes are given which helps in studies"
3,"The teacher is hard working. She makes sure all study material is up to standards and cares about the students' performance.she is a very good teacher"
3,"taking efforts and taught them while sitting in car"
3,"teacher language is bad towards students"
3,"Ma'am don't know how to teach python"
3,"teacher behavior towards students is not so good . "
4,"The teacher is almost always angry. She talks very loudly when angry and sometimes isnt mature enough. She is threatening and over-confident. "
4,"gets angry most times on silly things"
4,"average teaching"
4,"Ma'am never knows the solution of my doubts"
4,"teaching is good sometimes"
4,"The teacher is ok. She teches and completes portion in schedule. She doent explain well but the explanations are satisfactory."
4,"doing hardwork for making notes from various website"
5,"good notes"
5,"Linux is cool..."
5,"good notes for better understanding"
5,"Very nice teacher. Most hardworking teacher i have seen yet. Gives notes sometimes handwritten. She is forgiving and at the same time strict enough. "
5,"taught us nicely"
5,"extra lectures
5,"Ma'am don't know shell script "
5,"sometimes linux feels bore when Teacher teaches "
5,"Very sloppy teacher. Doesnt explain anything and only reads from notebook. She seems lazy and makes us feel sleepy in lectures."
5,"gets angry on silly things and make us punish on silly things and in punishment she give to write something for many times"
5,"The teacher we have in java is good in knowledge but the mam does not come for the lecture many times and due to which it causes the student at the end of the semester that portion is not at all completed just mam has taught 3 lessons out of 6 .And after that at the end of the semester they notified us to submit the experiments in half day ."
4,"Had very problems regarding submission and never provided notes on time , always faced some problems in completing the portion"
3,"Average" 
2,"This mam taught us average"
1,"I learned something from every class, plus had a lot of fun doing it!"
2,"Average"
3,"The teacher in python is ever angry on all things on silly things it get angry this teacher also"
4,"not taught us well and it they just study from presentation slide and just read the lines and taught . So how we can make projects based on machine learning and AI ."
5,"Short tempered gets angry on very small things "
1,"the mam taught us average"